5.4674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.7672,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
4.1248,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
4.0095,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
3.7333,3,3,2,0,2,2,3,0,3,3,0,3,3,3,3
3.6699,5,4,2,0,2,2,5,0,5,5,0,5,4,5,5
3.5789,6,4,2,0,2,2,7,0,7,6,0,6,4,7,6
3.5259,6,4,2,0,2,2,7,0,0,6,0,6,4,7,6
3.4757,0,4,2,0,2,2,7,0,0,6,0,6,4,7,6
3.1889,0,4,0,0,2,2,7,0,0,6,0,6,4,7,6
3.1374,0,4,0,0,2,2,0,0,0,6,0,6,4,0,6
2.852,0,0,0,0,2,2,0,0,0,6,0,6,0,0,6
2.1452,0,0,0,0,2,2,0,0,0,6,0,6,0,0,0
1.3028,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
